video_id,frames_extracted,frames_total,labelme_done,needs_review
001,4,4,0,no
002,4,4,0,no
003,4,4,0,no
004,4,4,0,no
005,4,4,0,no
006,4,4,0,no
007,4,4,0,no
008,4,4,0,no
009,4,4,0,no
010,4,4,0,no
011,4,4,0,no
012,3,4,0,yes
013,4,4,0,no
014,4,4,0,no
015,4,4,0,no
016,4,4,0,no
017,4,4,0,no
018,3,4,0,yes
019,4,4,0,no
020,4,4,0,no
021,4,4,0,no
022,3,4,0,yes
023,4,4,0,no
025,3,4,0,yes
026,4,4,0,no
027,4,4,0,no
028,4,4,0,no
029,3,4,0,yes
030,4,4,0,no
031,4,4,0,no
032,4,4,0,no
033,4,4,0,no
034,4,4,0,no
036,4,4,0,no
037,4,4,0,no
038,4,4,0,no
039,4,4,0,no
041,4,4,0,no
042,4,4,0,no
043,4,4,0,no
044,4,4,0,no
045,3,4,0,yes
