video_id,filename,duration_sec,width,height,fps,valid,notes
001,001.mp4,32.0,1920,1080,30.0,yes,
002,002.mp4,34.7,1920,1080,30.0,yes,
003,003.mp4,31.6,1920,1080,30.04,yes,
004,004.mp4,32.2,1920,1080,30.03,yes,
005,005.mp4,36.4,1920,1080,30.0,yes,
006,006.mp4,32.6,1920,1080,30.0,yes,
007,007.mp4,40.6,1920,1080,30.0,yes,
008,008.mp4,35.5,1920,1080,30.0,yes,
009,009.mp4,43.3,1920,1080,30.0,yes,
010,010.mp4,32.1,1920,1080,30.01,yes,
011,011.mp4,32.5,1920,1080,30.03,yes,
012,012.mp4,22.8,1920,1080,30.0,yes,
013,013.mp4,31.3,1920,1080,30.0,yes,
014,014.mp4,39.3,1920,1080,30.0,yes,
015,015.mp4,30.0,1920,1080,30.0,yes,
016,016.mp4,28.6,1920,1080,30.01,yes,
017,017.mp4,26.9,1920,1080,30.0,yes,
018,018.mp4,23.0,1920,1080,30.0,yes,
019,019.mp4,29.6,1920,1080,30.0,yes,
020,020.mp4,30.7,1920,1080,30.0,yes,
021,021.mp4,35.1,1920,1080,30.0,yes,
022,022.mp4,22.6,1920,1080,30.0,yes,
023,023.mp4,28.3,1920,1080,30.0,yes,
025,025.mp4,23.5,1920,1080,30.0,yes,
026,026.mp4,37.5,1920,1080,30.0,yes,
027,027.mp4,24.5,1920,1080,30.0,yes,
028,028.mp4,32.5,1920,1080,30.03,yes,
029,029.mp4,24.0,1920,1080,30.01,yes,
030,030.mp4,48.2,1920,1080,30.0,yes,
031,031.mp4,41.1,1920,1080,30.0,yes,
032,032.mp4,32.2,1920,1080,30.0,yes,
033,033.mp4,27.5,1920,1080,30.0,yes,
034,034.mp4,26.7,1920,1080,30.0,yes,
036,036.mp4,29.9,1920,1080,30.0,yes,
037,037.mp4,29.4,1920,1080,30.0,yes,
038,038.mp4,29.2,1920,1080,30.0,yes,
039,039.mp4,25.8,1920,1080,30.0,yes,
041,041.mp4,31.6,1920,1080,30.03,yes,
042,042.mp4,34.9,1920,1080,30.01,yes,
043,043.mp4,33.4,1920,1080,30.0,yes,
044,044.mp4,29.1,1920,1080,30.01,yes,
045,045.mp4,21.1,1920,1080,30.0,yes,
